url link,ad period,price,no. beds,no. baths,size,ad type,address,broker
https://www.zillow.com/homedetails/2167-Crotona-Ave-APT-14-Bronx-NY-10457/2077535136_zpid/,,55000,1,1,550,Condo for sale,"2167 Crotona Ave APT 14, Bronx, NY 10457",EXP REALTY
https://www.zillow.com/homedetails/100-W-57th-St-11R-New-York-NY-10019/2078461494_zpid/,213 days on Zillow,215000,1,1,900,Condo for sale,"100 W 57th St #11R, New York, NY 10019",DOUGLAS ELLIMAN
https://www.zillow.com/homedetails/100-W-57th-St-APT-5R-New-York-NY-10019/2078079062_zpid/,,185000,1,1,900,Condo for sale,"100 W 57th St APT 5R, New York, NY 10019",PERGOLOTTI REALTY (917-415-6609)
https://www.zillow.com/homedetails/303-E-57th-St-APT-32B-New-York-NY-10022/119912033_zpid/,,445000,2,3,1800,Condo for sale,"303 E 57th St APT 32B, New York, NY 10022",BROWN HARRIS STEVENS (212-381-3372)
https://www.zillow.com/homedetails/8829-183rd-St-Jamaica-NY-11423/32135323_zpid/,115 days on Zillow,250000,3,2,1632,House for sale,"8829 183rd St, Jamaica, NY 11423",JOSHUAS REALTY
https://www.zillow.com/homedetails/24-Cooper-St-5CD-New-York-NY-10034/2075662674_zpid/,40 days on Zillow,230000,3,2,994,Condo for sale,"24 Cooper St #5CD, New York, NY 10034","THE LEVEQUE GROUP, LLC (646-772-8566)"
https://www.zillow.com/homedetails/601-Kappock-St-1SR-Bronx-NY-10463/2073608776_zpid/,10 days on Zillow,350000,3,2,1250,Condo for sale,"601 Kappock St #1SR, Bronx, NY 10463",COMPASS (917-673-0860)
https://www.zillow.com/homedetails/105-W-77th-St-APT-5C-New-York-NY-10024/65317208_zpid/,,679000,1,1,429,For sale by owner,"105 W 77th St APT 5C, New York, NY 10024",
https://www.zillow.com/homedetails/12-E-63rd-St-New-York-NY-10065/2099424678_zpid/,783 days on Zillow,65000000,7,11,13000,House for sale,"12 E 63rd St, New York, NY 10065",BERKSHIRE HATHAWAY HOMESERVICES NEW YORK PROPERTIES (646-677-1038)
https://www.zillow.com/homedetails/2023-Belmont-Ave-APT-3A-Bronx-NY-10457/2075605203_zpid/,,125000,2,1,731,Condo for sale,"2023 Belmont Ave APT 3A, Bronx, NY 10457","DOROTHY JENSEN REALTY, INC."
